source,target,weight,tag
b87,t_non-fiction,5705,non-fiction
b91,t_dystopian,5694,dystopian
b1249,t_fantasy,5690,fantasy
b243,t_horror,5668,horror
b375,t_classics,5666,classics
b5,t_classic,5662,classic
b2404,t_fantasy,5659,fantasy
b59,t_classics,5641,classics
b94,t_classics,5578,classics
b540,t_classics,5576,classics
b181,t_non-fiction,5568,non-fiction
b144,t_non-fiction,5522,non-fiction
b166,t_dystopian,5491,dystopian
b2471,t_fantasy,5482,fantasy
b1029,t_graphic-novels,5472,graphic-novels
b651,t_classics,5465,classics
b1472,t_fantasy,5462,fantasy
b13,t_sci-fi,5459,sci-fi
b1362,t_fantasy,5451,fantasy
b267,t_historical-fiction,5433,historical-fiction
b98,t_mystery,5430,mystery
b485,t_classics,5424,classics
b276,t_sci-fi,5405,sci-fi
b26,t_thriller,5358,thriller
b294,t_fantasy,5354,fantasy
b195,t_historical-fiction,5354,historical-fiction
b55,t_sci-fi,5344,sci-fi
b1801,t_fantasy,5335,fantasy
b1693,t_fantasy,5296,fantasy
b298,t_science-fiction,5287,science-fiction
b265,t_classics,5286,classics
b13,t_dystopian,5279,dystopian
b319,t_fantasy,5269,fantasy
b758,t_non-fiction,5264,non-fiction
b351,t_fantasy,5260,fantasy
b1200,t_fantasy,5242,fantasy
b862,t_fantasy,5232,fantasy
b155,t_classics,5219,classics
b530,t_classics,5209,classics
b701,t_classics,5192,classics
b3,t_paranormal,5180,paranormal
b360,t_sci-fi,5162,sci-fi
b401,t_classics,5149,classics
b12,t_fantasy,5134,fantasy
b1264,t_fantasy,5105,fantasy
b772,t_philosophy,5093,philosophy
b137,t_fantasy,5077,fantasy
b105,t_dystopia,5075,dystopia
b650,t_classics,5073,classics
b164,t_romance,5064,romance
b891,t_fantasy,5041,fantasy
b148,t_historical-fiction,5028,historical-fiction
b1254,t_fantasy,5011,fantasy
b766,t_graphic-novels,5009,graphic-novels
b66,t_historical-fiction,5000,historical-fiction
b17,t_sci-fi,4997,sci-fi
b778,t_classics,4981,classics
b229,t_fantasy,4977,fantasy
b877,t_fantasy,4970,fantasy
b161,t_classics,4963,classics
b1743,t_fantasy,4950,fantasy
b1502,t_fantasy,4948,fantasy
b1155,t_fantasy,4946,fantasy
b12,t_science-fiction,4914,science-fiction
b365,t_graphic-novels,4900,graphic-novels
b190,t_non-fiction,4891,non-fiction
b1479,t_fantasy,4853,fantasy
b612,t_fantasy,4851,fantasy
b1128,t_fantasy,4846,fantasy
b514,t_classics,4843,classics
b1356,t_fantasy,4825,fantasy
b1278,t_fantasy,4816,fantasy
b1114,t_classics,4796,classics
b2262,t_fantasy,4796,fantasy
b960,t_fantasy,4793,fantasy
b278,t_poetry,4793,poetry
b38,t_romance,4778,romance
b40,t_non-fiction,4773,non-fiction
b460,t_fantasy,4755,fantasy
b1766,t_fantasy,4753,fantasy
b450,t_urban-fantasy,4744,urban-fantasy
b20,t_sci-fi,4741,sci-fi
b81,t_non-fiction,4738,non-fiction
b618,t_classics,4735,classics
b4,t_historical-fiction,4735,historical-fiction
b1665,t_fantasy,4731,fantasy
b16,t_thriller,4727,thriller
b119,t_dystopia,4726,dystopia
b803,t_manga,4721,manga
b1350,t_fantasy,4707,fantasy
b180,t_classics,4693,classics
b352,t_non-fiction,4681,non-fiction
b357,t_classics,4665,classics
b371,t_science-fiction,4665,science-fiction
b4200,t_fantasy,4663,fantasy
b770,t_classics,4654,classics
b61,t_thriller,4653,thriller
b428,t_fantasy,4652,fantasy
b961,t_classics,4638,classics
b714,t_classics,4636,classics
b463,t_historical-fiction,4630,historical-fiction
b816,t_historical-fiction,4623,historical-fiction
b663,t_history,4610,history
b699,t_classics,4603,classics
b1071,t_fantasy,4597,fantasy
b55,t_dystopia,4590,dystopia
b2071,t_historical-fiction,4584,historical-fiction
b316,t_non-fiction,4579,non-fiction
b9,t_thriller,4563,thriller
b706,t_classics,4561,classics
b239,t_horror,4558,horror
b289,t_classics,4556,classics
b128,t_biography,4555,biography
b446,t_classics,4550,classics
b1286,t_fantasy,4536,fantasy
b91,t_dystopia,4531,dystopia
b550,t_non-fiction,4525,non-fiction
b182,t_fantasy,4509,fantasy
b1674,t_fantasy,4496,fantasy
b48,t_dystopia,4496,dystopia
b252,t_sci-fi,4485,sci-fi
b1629,t_fantasy,4482,fantasy
b899,t_classics,4481,classics
b1848,t_steampunk,4469,steampunk
b1230,t_fantasy,4466,fantasy
b290,t_non-fiction,4451,non-fiction
b599,t_science-fiction,4438,science-fiction
b810,t_manga,4432,manga
b363,t_romance,4421,romance
b687,t_history,4413,history
b370,t_fantasy,4405,fantasy
b984,t_classics,4403,classics
b54,t_humor,4397,humor
b1474,t_fantasy,4390,fantasy
b2109,t_fantasy,4388,fantasy
b1337,t_fantasy,4376,fantasy
b1924,t_fantasy,4367,fantasy
b547,t_classics,4362,classics
b15,t_history,4359,history
b473,t_mystery,4357,mystery
b1000,t_fantasy,4354,fantasy
b691,t_non-fiction,4352,non-fiction
b119,t_dystopian,4343,dystopian
b1259,t_fantasy,4342,fantasy
b988,t_fantasy,4341,fantasy
b1034,t_fantasy,4334,fantasy
b1064,t_classics,4322,classics
b140,t_mystery,4304,mystery
b2,t_magic,4302,magic
b197,t_fantasy,4300,fantasy
b51,t_paranormal,4297,paranormal
b13,t_classic,4293,classic
b503,t_science-fiction,4276,science-fiction
b84,t_science-fiction,4264,science-fiction
b15,t_biography,4256,biography
b41,t_mythology,4252,mythology
b782,t_classics,4249,classics
b1418,t_fantasy,4248,fantasy
b284,t_classics,4224,classics
b474,t_non-fiction,4219,non-fiction
b81,t_memoir,4218,memoir
b977,t_classics,4214,classics
b29,t_romance,4204,romance
b855,t_classics,4199,classics
b207,t_mystery,4193,mystery
b2086,t_fantasy,4187,fantasy
b231,t_historical-fiction,4176,historical-fiction
b547,t_science-fiction,4176,science-fiction
b2390,t_fantasy,4174,fantasy
b395,t_classics,4168,classics
b206,t_romance,4161,romance
b764,t_historical-fiction,4160,historical-fiction
b607,t_fantasy,4156,fantasy
b1073,t_classics,4154,classics
b2198,t_fantasy,4151,fantasy
b439,t_non-fiction,4147,non-fiction
b75,t_chick-lit,4141,chick-lit
b3444,t_fantasy,4138,fantasy
b1869,t_fantasy,4138,fantasy
b637,t_science-fiction,4135,science-fiction
b1857,t_fantasy,4134,fantasy
b206,t_dystopian,4129,dystopian
b773,t_classics,4126,classics
b1346,t_fantasy,4122,fantasy
b1511,t_fantasy,4115,fantasy
b3302,t_fantasy,4114,fantasy
b14,t_classic,4110,classic
b1546,t_fantasy,4109,fantasy
b725,t_fantasy,4105,fantasy
b8,t_classic,4104,classic
b980,t_urban-fantasy,4100,urban-fantasy
b920,t_non-fiction,4096,non-fiction
b536,t_fantasy,4089,fantasy
b829,t_classics,4067,classics
b446,t_mystery,4066,mystery
b49,t_paranormal,4063,paranormal
b2309,t_fantasy,4037,fantasy
b252,t_science-fiction,4028,science-fiction
b1463,t_fantasy,4026,fantasy
b187,t_dystopian,4021,dystopian
b308,t_chick-lit,4018,chick-lit
b2043,t_fantasy,4012,fantasy
b1931,t_fantasy,4007,fantasy
b2258,t_fantasy,4007,fantasy
b618,t_mystery,4005,mystery
b2626,t_fantasy,4005,fantasy
b166,t_dystopia,3995,dystopia
b2669,t_fantasy,3982,fantasy
b671,t_mystery,3981,mystery
b1396,t_fantasy,3975,fantasy
b1029,t_comics,3972,comics
b52,t_paranormal,3971,paranormal
b63,t_classic,3967,classic
b1167,t_classics,3940,classics
b684,t_fantasy,3940,fantasy
b119,t_science-fiction,3930,science-fiction
b200,t_classics,3927,classics
b117,t_classics,3925,classics
b1536,t_fantasy,3919,fantasy
b720,t_manga,3914,manga
b442,t_science-fiction,3911,science-fiction
b87,t_classics,3905,classics
b189,t_classics,3904,classics
b556,t_horror,3889,horror
b839,t_classics,3881,classics
b735,t_comics,3878,comics
b1591,t_fantasy,3869,fantasy
b65,t_science-fiction,3863,science-fiction
b497,t_classics,3860,classics
b479,t_classics,3857,classics
b2489,t_fantasy,3855,fantasy
b774,t_fantasy,3853,fantasy
b300,t_historical-fiction,3844,historical-fiction
b257,t_fantasy,3840,fantasy
b1370,t_graphic-novels,3839,graphic-novels
b468,t_classics,3838,classics
b271,t_classics,3837,classics
b15,t_nonfiction,3817,nonfiction
b2125,t_fantasy,3816,fantasy
b554,t_historical-fiction,3807,historical-fiction
b48,t_dystopian,3804,dystopian
b289,t_fantasy,3800,fantasy
b730,t_classics,3795,classics
b432,t_sci-fi,3795,sci-fi
b700,t_historical-fiction,3794,historical-fiction
b191,t_graphic-novel,3793,graphic-novel
b3241,t_fantasy,3792,fantasy
b298,t_sci-fi,3792,sci-fi
b806,t_fantasy,3791,fantasy
b1964,t_fantasy,3790,fantasy
b1374,t_fantasy,3787,fantasy
b470,t_non-fiction,3783,non-fiction
b208,t_nonfiction,3776,nonfiction
b29,t_classic,3774,classic
b42,t_classic,3765,classic
b599,t_sci-fi,3758,sci-fi
b2105,t_urban-fantasy,3751,urban-fantasy
b106,t_humor,3748,humor
b11,t_historical-fiction,3741,historical-fiction
b80,t_fantasy,3739,fantasy
b1329,t_poetry,3732,poetry
b2271,t_fantasy,3720,fantasy
b1782,t_fantasy,3711,fantasy
b2501,t_fantasy,3707,fantasy
b4581,t_fantasy,3703,fantasy
b918,t_fantasy,3697,fantasy
b12,t_romance,3694,romance
b1431,t_fantasy,3690,fantasy
b197,t_vampires,3690,vampires
b2814,t_fantasy,3690,fantasy
b490,t_graphic-novels,3688,graphic-novels
b2921,t_poetry,3685,poetry
b910,t_science-fiction,3683,science-fiction
b2533,t_fantasy,3682,fantasy
b63,t_romance,3675,romance
b826,t_classics,3671,classics
b789,t_science-fiction,3665,science-fiction
b256,t_non-fiction,3651,non-fiction
b997,t_classics,3651,classics
b23,t_magic,3650,magic
b1863,t_fantasy,3647,fantasy
b73,t_sci-fi,3642,sci-fi
b371,t_sci-fi,3641,sci-fi
b2743,t_graphic-novels,3640,graphic-novels
b398,t_non-fiction,3640,non-fiction
b440,t_historical-fiction,3635,historical-fiction
b751,t_science-fiction,3635,science-fiction
b106,t_memoir,3631,memoir
b3578,t_fantasy,3631,fantasy
b384,t_vampires,3629,vampires
b695,t_mystery,3623,mystery
b18,t_magic,3618,magic
b203,t_romance,3618,romance
b101,t_humor,3613,humor
b766,t_comics,3608,comics
b891,t_urban-fantasy,3607,urban-fantasy
b2954,t_fantasy,3600,fantasy
b1997,t_fantasy,3599,fantasy
b828,t_graphic-novels,3597,graphic-novels
b324,t_romance,3592,romance
b518,t_fantasy,3591,fantasy
b12,t_sci-fi,3588,sci-fi
b514,t_mystery,3587,mystery
b2006,t_fantasy,3583,fantasy
b794,t_horror,3570,horror
b1077,t_graphic-novels,3564,graphic-novels
b642,t_historical-fiction,3562,historical-fiction
b2767,t_graphic-novels,3562,graphic-novels
b664,t_classics,3552,classics
b2623,t_fantasy,3548,fantasy
b190,t_memoir,3547,memoir
b633,t_science-fiction,3546,science-fiction
b1410,t_mystery,3545,mystery
b1477,t_classics,3543,classics
b28,t_classic,3543,classic
b1638,t_fantasy,3540,fantasy
b1381,t_fantasy,3538,fantasy
b1412,t_fantasy,3531,fantasy
b715,t_classics,3510,classics
b101,t_non-fiction,3509,non-fiction
b202,t_fantasy,3508,fantasy
b55,t_dystopian,3506,dystopian
b218,t_romance,3490,romance
b117,t_science-fiction,3484,science-fiction
b318,t_historical-fiction,3481,historical-fiction
b73,t_science-fiction,3479,science-fiction
b1228,t_fantasy,3475,fantasy
b2244,t_graphic-novels,3468,graphic-novels
b114,t_non-fiction,3467,non-fiction
b688,t_non-fiction,3465,non-fiction
b2764,t_fantasy,3456,fantasy
b2470,t_fantasy,3455,fantasy
b2167,t_fantasy,3454,fantasy
b32,t_classic,3446,classic
b2469,t_fantasy,3444,fantasy
b21,t_fantasy,3441,fantasy
b4961,t_fantasy,3440,fantasy
b1848,t_fantasy,3436,fantasy
b151,t_mythology,3434,mythology
b273,t_historical-fiction,3432,historical-fiction
b54,t_fantasy,3428,fantasy
b394,t_vampires,3425,vampires
b79,t_poetry,3418,poetry
b2056,t_fantasy,3417,fantasy
b25,t_magic,3414,magic
b226,t_mystery,3413,mystery
b881,t_non-fiction,3412,non-fiction
b2984,t_fantasy,3408,fantasy
b2499,t_classics,3408,classics
b1084,t_classics,3400,classics
b691,t_writing,3384,writing
b1263,t_science-fiction,3375,science-fiction
b27,t_magic,3374,magic
b2677,t_fantasy,3373,fantasy
b91,t_science-fiction,3371,science-fiction
b78,t_chick-lit,3371,chick-lit
b890,t_science-fiction,3366,science-fiction
b972,t_classics,3357,classics
b729,t_sci-fi,3356,sci-fi
b97,t_fantasy,3349,fantasy
b259,t_dystopian,3343,dystopian
b1,t_romance,3341,romance
b1807,t_fantasy,3338,fantasy
b1046,t_non-fiction,3337,non-fiction
b1214,t_classics,3337,classics
b84,t_sci-fi,3325,sci-fi
b887,t_classics,3324,classics
b3245,t_fantasy,3317,fantasy
b187,t_dystopia,3313,dystopia
b2382,t_fantasy,3305,fantasy
b47,t_historical,3304,historical
b947,t_fantasy,3298,fantasy
b411,t_chick-lit,3297,chick-lit
b208,t_science,3297,science
b1323,t_fantasy,3296,fantasy
b1183,t_manga,3294,manga
b632,t_dystopian,3287,dystopian
b7373,t_fantasy,3285,fantasy
b442,t_sci-fi,3277,sci-fi
b1280,t_classics,3276,classics
b531,t_poetry,3273,poetry
b437,t_historical-fiction,3269,historical-fiction
b1429,t_fantasy,3268,fantasy
b655,t_dystopian,3266,dystopian
b144,t_history,3265,history
b16,t_crime,3260,crime
b1353,t_fantasy,3255,fantasy
b479,t_philosophy,3253,philosophy
b1034,t_urban-fantasy,3247,urban-fantasy
b712,t_historical-fiction,3247,historical-fiction
b4624,t_fantasy,3241,fantasy
b1501,t_historical-fiction,3235,historical-fiction
b1137,t_fantasy,3234,fantasy
b1235,t_science,3229,science
b58,t_classic,3227,classic
b1027,t_fantasy,3226,fantasy
b246,t_vampires,3224,vampires
b1653,t_urban-fantasy,3222,urban-fantasy
b1199,t_graphic-novels,3222,graphic-novels
b1745,t_steampunk,3221,steampunk
b419,t_vampires,3218,vampires
b1895,t_graphic-novels,3211,graphic-novels
b503,t_sci-fi,3211,sci-fi
b214,t_mythology,3210,mythology
b1204,t_classics,3207,classics
b51,t_romance,3205,romance
b4500,t_fantasy,3198,fantasy
b3702,t_fantasy,3192,fantasy
b1,t_adventure,3190,adventure
b735,t_graphic-novels,3189,graphic-novels
b1175,t_fantasy,3185,fantasy
b766,t_fantasy,3184,fantasy
b614,t_classics,3183,classics
b1681,t_classics,3180,classics
b1148,t_non-fiction,3172,non-fiction
b3359,t_fantasy,3168,fantasy
b1090,t_horror,3165,horror
b255,t_classics,3165,classics
b374,t_history,3160,history
b421,t_historical-fiction,3151,historical-fiction
b1464,t_graphic-novels,3149,graphic-novels
b3200,t_fantasy,3147,fantasy
b159,t_mythology,3143,mythology
b501,t_mystery,3140,mystery
b3532,t_fantasy,3135,fantasy
b472,t_non-fiction,3133,non-fiction
b201,t_mystery,3129,mystery
b589,t_romance,3124,romance
b1094,t_classics,3124,classics
b870,t_history,3124,history
b224,t_fantasy,3122,fantasy
b433,t_romance,3121,romance
b162,t_philosophy,3121,philosophy
b316,t_travel,3119,travel
b1340,t_fantasy,3118,fantasy
b987,t_fantasy,3116,fantasy
b875,t_fantasy,3113,fantasy
b366,t_history,3109,history
b69,t_fantasy,3108,fantasy
b2558,t_fantasy,3104,fantasy
b156,t_chick-lit,3103,chick-lit
b609,t_horror,3100,horror
b69,t_science-fiction,3093,science-fiction
b175,t_mythology,3092,mythology
b1019,t_science-fiction,3090,science-fiction
b35,t_classics,3089,classics
b1014,t_science-fiction,3087,science-fiction
b2453,t_fantasy,3085,fantasy
b1566,t_classics,3082,classics
b1759,t_fantasy,3075,fantasy
b838,t_science-fiction,3062,science-fiction
b433,t_paranormal,3059,paranormal
b153,t_paranormal,3058,paranormal
b1636,t_urban-fantasy,3056,urban-fantasy
b568,t_graphic-novels,3056,graphic-novels
b3191,t_graphic-novels,3053,graphic-novels
b527,t_fantasy,3049,fantasy
b1770,t_horror,3048,horror
b230,t_romance,3048,romance
b171,t_romance,3047,romance
b2941,t_fantasy,3046,fantasy
b1053,t_fantasy,3043,fantasy
b959,t_classics,3039,classics
b3096,t_fantasy,3038,fantasy
b751,t_sci-fi,3034,sci-fi
b974,t_science-fiction,3033,science-fiction
b769,t_classics,3033,classics
b1272,t_non-fiction,3032,non-fiction
b51,t_urban-fantasy,3027,urban-fantasy
b953,t_fantasy,3026,fantasy
b753,t_graphic-novels,3023,graphic-novels
b424,t_historical-fiction,3021,historical-fiction
b3278,t_fantasy,3019,fantasy
b595,t_classics,3018,classics
b239,t_zombies,3014,zombies
b2518,t_fantasy,3010,fantasy
b38,t_fantasy,3009,fantasy
b2978,t_fantasy,3006,fantasy
b2871,t_fantasy,3006,fantasy
b819,t_classics,3006,classics
b244,t_mystery,3002,mystery
b4306,t_fantasy,3002,fantasy
b144,t_biography,2995,biography
b5429,t_fantasy,2995,fantasy
b865,t_horror,2990,horror
b1127,t_urban-fantasy,2986,urban-fantasy
b637,t_sci-fi,2985,sci-fi
b619,t_psychology,2983,psychology
b40,t_memoir,2981,memoir
b1058,t_mystery,2981,mystery
b2629,t_fantasy,2980,fantasy
b509,t_chick-lit,2979,chick-lit
b2424,t_fantasy,2978,fantasy
b3147,t_fantasy,2973,fantasy
b258,t_historical-fiction,2973,historical-fiction
b3295,t_fantasy,2971,fantasy
b95,t_classic,2968,classic
b212,t_historical-fiction,2962,historical-fiction
b92,t_nonfiction,2959,nonfiction
b3228,t_historical-fiction,2956,historical-fiction
b3298,t_fantasy,2956,fantasy
b403,t_non-fiction,2954,non-fiction
b1527,t_non-fiction,2951,non-fiction
b935,t_classics,2945,classics
b1224,t_science,2944,science
b1314,t_science,2943,science
b410,t_classics,2941,classics
b547,t_sci-fi,2939,sci-fi
b87,t_history,2936,history
b137,t_time-travel,2935,time-travel
b527,t_vampires,2935,vampires
b546,t_philosophy,2932,philosophy
b5559,t_steampunk,2932,steampunk
b592,t_classics,2931,classics
b3547,t_fantasy,2925,fantasy
b543,t_vampires,2924,vampires
b1403,t_horror,2923,horror
b1394,t_fantasy,2923,fantasy
b910,t_sci-fi,2918,sci-fi
b731,t_horror,2911,horror
b760,t_science-fiction,2907,science-fiction
b140,t_thriller,2897,thriller
b675,t_horror,2896,horror
b1210,t_classics,2896,classics
b197,t_paranormal,2896,paranormal
b456,t_classics,2889,classics
b3497,t_fantasy,2888,fantasy
b639,t_classics,2886,classics
b1298,t_fantasy,2883,fantasy
b433,t_vampires,2881,vampires
b561,t_fantasy,2880,fantasy
b1741,t_mystery,2878,mystery
b1572,t_graphic-novels,2877,graphic-novels
b2947,t_fantasy,2874,fantasy
b1715,t_horror,2873,horror
b3362,t_fantasy,2872,fantasy
b736,t_classics,2869,classics
b1605,t_classics,2865,classics
b3117,t_fantasy,2863,fantasy
b1521,t_classics,2860,classics
b1768,t_fantasy,2860,fantasy
b2540,t_graphic-novels,2854,graphic-novels
b179,t_non-fiction,2853,non-fiction
b181,t_classics,2846,classics
b1889,t_urban-fantasy,2845,urban-fantasy
b2487,t_fantasy,2844,fantasy
b376,t_dystopian,2839,dystopian
b1041,t_classics,2835,classics
b2285,t_fantasy,2834,fantasy
b2792,t_fantasy,2832,fantasy
b83,t_classic,2830,classic
b54,t_classics,2829,classics
b149,t_romance,2829,romance
b792,t_classics,2827,classics
b341,t_poetry,2823,poetry
b166,t_romance,2823,romance
b3244,t_fantasy,2822,fantasy
b2811,t_fantasy,2819,fantasy
b838,t_sci-fi,2818,sci-fi
b3182,t_fantasy,2818,fantasy
b10,t_historical-fiction,2813,historical-fiction
b457,t_historical-fiction,2810,historical-fiction
b7,t_classic,2808,classic
b1420,t_history,2807,history
b321,t_classics,2806,classics
b5287,t_fantasy,2806,fantasy
b858,t_science-fiction,2806,science-fiction
b9673,t_manga,2806,manga
b106,t_nonfiction,2805,nonfiction
b2445,t_mystery,2805,mystery
b152,t_romance,2802,romance
b2253,t_history,2801,history
b17,t_romance,2800,romance
b1089,t_fantasy,2797,fantasy
b980,t_fantasy,2793,fantasy
b1228,t_urban-fantasy,2792,urban-fantasy
