id,label,type,author,n_books
b341,The Iliad,book,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",1
b542,"The Horse and His Boy (Chronicles of Narnia, #5)",book,C.S. Lewis,1
b200,And Then There Were None,book,Agatha Christie,1
b143,All the Light We Cannot See,book,Anthony Doerr,1
b293,Treasure Island,book,Robert Louis Stevenson,1
b232,"The Gunslinger (The Dark Tower, #1)",book,Stephen King,1
b134,"City of Glass (The Mortal Instruments, #3)",book,Cassandra Clare,1
b682,Jonathan Strange & Mr Norrell,book,Susanna Clarke,1
b113,Catch-22,book,Joseph Heller,1
b137,"Outlander (Outlander, #1)",book,Diana Gabaldon,1
b176,It,book,Stephen King,1
b31,The Help,book,Kathryn Stockett,1
b1728,Uprooted,book,Naomi Novik,1
b30,Gone Girl,book,Gillian Flynn,1
b390,The Strange Case of Dr. Jekyll and Mr. Hyde,book,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",1
b528,"The Dragon Reborn (Wheel of Time, #3)",book,Robert Jordan,1
b584,The Magicians (The Magicians #1),book,Lev Grossman,1
b842,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",book,Sarah J. Maas,1
b301,Heart of Darkness,book,Joseph Conrad,1
b191,Watchmen,book,"Alan Moore, Dave Gibbons, John Higgins",1
b481,"Wizard's First Rule (Sword of Truth, #1)",book,Terry Goodkind,1
b450,"Storm Front (The Dresden Files, #1)",book,Jim Butcher,1
b602,"The Silver Chair (Chronicles of Narnia, #4)",book,"C.S. Lewis, Pauline Baynes",1
b413,The Three Musketeers,book,Alexandre Dumas,1
b282,Coraline,book,Neil Gaiman,1
b141,The Martian,book,Andy Weir,1
b208,The Immortal Life of Henrietta Lacks,book,Rebecca Skloot,1
b13,1984,book,"George Orwell, Erich Fromm, Celâl Üster",1
b6,The Fault in Our Stars,book,John Green,1
b223,"Artemis Fowl (Artemis Fowl, #1)",book,Eoin Colfer,1
b270,Rebecca,book,"Daphne du Maurier, Sally Beauman",1
b213,The Metamorphosis,book,"Franz Kafka, Stanley Corngold",1
b142,"The Pillars of the Earth (The Kingsbridge Series, #1)",book,Ken Follett,1
b498,War and Peace,book,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1
b183,"Clockwork Angel (The Infernal Devices, #1)",book,Cassandra Clare,1
b186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",book,Philippa Gregory,1
b2116,"A Darker Shade of Magic (Shades of Magic, #1)",book,"V.E. Schwab, Victoria Schwab",1
b237,Carrie,book,Stephen King,1
b620,"The Mists of Avalon (Avalon, #1)",book,Marion Zimmer Bradley,1
b722,"The Shadow Rising (Wheel of Time, #4)",book,Robert Jordan,1
b917,"The Blade Itself (The First Law, #1)",book,Joe Abercrombie,1
b1668,"Six of Crows (Six of Crows, #1)",book,Leigh Bardugo,1
b33,Memoirs of a Geisha,book,Arthur Golden,1
b225,East of Eden,book,John Steinbeck,1
b61,The Girl on the Train,book,Paula Hawkins,1
b105,"Allegiant (Divergent, #3)",book,Veronica Roth,1
b215,Ready Player One,book,Ernest Cline,1
b559,Tess of the D'Urbervilles,book,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",1
b560,Madame Bovary,book,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1
b755,"Mort (Death, #1; Discworld, #4)",book,Terry Pratchett,1
b353,Othello,book,William Shakespeare,1
b162,The Stranger,book,"Albert Camus, Matthew    Ward",1
b949,"The Fires of Heaven (Wheel of Time, #5)",book,Robert Jordan,1
b106,Bossypants,book,Tina Fey,1
b666,Anansi Boys,book,Neil Gaiman,1
b276,Foundation (Foundation #1),book,Isaac Asimov,1
b252,"Cinder (The Lunar Chronicles, #1)",book,Marissa Meyer,1
b129,One Flew Over the Cuckoo's Nest,book,Ken Kesey,1
b427,The Importance of Being Earnest,book,Oscar Wilde,1
b168,The Stand,book,"Stephen King, Bernie Wrightson",1
b933,"Fire (Graceling Realm, #2)",book,Kristin Cashore,1
b1018,"Royal Assassin (Farseer Trilogy, #2)",book,Robin Hobb,1
b648,"Inheritance (The Inheritance Cycle, #4)",book,Christopher Paolini,1
b309,"City of Fallen Angels (The Mortal Instruments, #4)",book,Cassandra Clare,1
b1023,"Lord of Chaos (Wheel of Time, #6)",book,Robert Jordan,1
b529,Gulliver's Travels,book,"Jonathan Swift, Robert DeMaria Jr.",1
b298,The Time Machine,book,"H.G. Wells, Greg Bear, Carlo Pagetti",1
b82,Into the Wild,book,Jon Krakauer,1
b263,Ella Enchanted,book,Gail Carson Levine,1
b1343,"The Light Fantastic (Discworld, #2; Rincewind #2)",book,Terry Pratchett,1
b127,The Tipping Point: How Little Things Can Make a Big Difference,book,Malcolm Gladwell,1
b305,Pet Sematary,book,Stephen King,1
b597,Don Quixote,book,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1
b257,Alice in Wonderland,book,"Jane Carruth, Lewis Carroll, Rene Cloke",1
b590,David Copperfield,book,"Charles Dickens, Jeremy Tambling",1
b1022,"Heir of Fire (Throne of Glass, #3)",book,Sarah J. Maas,1
b387,The Crucible,book,"Arthur Miller, Christopher Bigsby",1
b1119,"A Crown of Swords (Wheel of Time, #7)",book,Robert Jordan,1
b518,Peter Pan,book,"J.M. Barrie, Michael Hague",1
b672,"Murder on the Orient Express (Hercule Poirot, #10)",book,Agatha Christie,1
b264,The Sun Also Rises,book,Ernest Hemingway,1
b211,Blink: The Power of Thinking Without Thinking,book,Malcolm Gladwell,1
b531,Beowulf,book,"Unknown, Seamus Heaney",1
b928,"The Raven Boys (The Raven Cycle, #1)",book,Maggie Stiefvater,1
b253,"The Cuckoo's Calling (Cormoran Strike, #1)",book,"Robert Galbraith, J.K. Rowling",1
b439,A Brief History of Time,book,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",1
b478,Robinson Crusoe,book,"Daniel Defoe, Gerald McCann, Virginia Woolf",1
b346,"The Wonderful Wizard of Oz (Oz, #1)",book,"L. Frank Baum, W.W. Denslow",1
b859,"The Way of Shadows (Night Angel, #1)",book,Brent Weeks,1
b379,"A Discovery of Witches (All Souls Trilogy, #1)",book,Deborah Harkness,1
b9,"Angels & Demons  (Robert Langdon, #1)",book,Dan Brown,1
b1480,"Alanna: The First Adventure (Song of the Lioness, #1)",book,Tamora Pierce,1
b119,The Handmaid's Tale,book,Margaret Atwood,1
b87,Night (The Night Trilogy #1),book,"Elie Wiesel, Marion Wiesel",1
b91,"The Maze Runner (Maze Runner, #1)",book,James Dashner,1
b1249,"The Path of Daggers (Wheel of Time, #8)",book,Robert Jordan,1
b243,Misery,book,Stephen King,1
b375,The Call of the Wild,book,Jack London,1
b2404,"Seraphina (Seraphina, #1)",book,Rachel Hartman,1
b59,Charlotte's Web,book,"E.B. White, Garth Williams, Rosemary Wells",1
b94,One Hundred Years of Solitude,book,"Gabriel García Márquez, Gregory Rabassa",1
b540,A Little Princess,book,"Frances Hodgson Burnett, Nancy Bond",1
b181,In Cold Blood,book,Truman Capote,1
b144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",book,Laura Hillenbrand,1
b166,"Matched (Matched, #1)",book,Ally Condie,1
b2471,"His Majesty's Dragon (Temeraire, #1)",book,Naomi Novik,1
b1029,"Saga, Vol. 1 (Saga, #1)",book,"Brian K. Vaughan, Fiona Staples",1
b651,The Phantom of the Opera,book,"Gaston Leroux, Alexander Teixeira de Mattos",1
b1472,"An Ember in the Ashes (An Ember in the Ashes, #1)",book,Sabaa Tahir,1
b1362,"Winter's Heart (Wheel of Time, #9)",book,Robert Jordan,1
b267,The Nightingale,book,Kristin Hannah,1
b98,"The Girl Who Played with Fire (Millennium, #2)",book,"Stieg Larsson, Reg Keeland",1
b485,The Brothers Karamazov,book,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1
b26,"The Da Vinci Code (Robert Langdon, #2)",book,Dan Brown,1
b294,"The Son of Neptune (The Heroes of Olympus, #2)",book,Rick Riordan,1
b195,The Guernsey Literary and Potato Peel Pie Society,book,"Mary Ann Shaffer, Annie Barrows",1
b1801,"The Sword of Shannara (The Original Shannara Trilogy, #1)",book,Terry Brooks,1
b1693,"Pawn of Prophecy (The Belgariad, #1)",book,David Eddings,1
b265,A Tree Grows in Brooklyn,book,Betty  Smith,1
b319,"City of Lost Souls (The Mortal Instruments, #5)",book,Cassandra Clare,1
b758,Stiff: The Curious Lives of Human Cadavers,book,Mary Roach,1
b351,"Clockwork Prince (The Infernal Devices, #2)",book,Cassandra Clare,1
b1200,"The Alloy of Law (Mistborn, #4)",book,Brandon Sanderson,1
b862,"Words of Radiance (The Stormlight Archive, #2)",book,Brandon Sanderson,1
b530,Much Ado About Nothing,book,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1
b701,Mrs. Dalloway,book,"Virginia Woolf, Maureen Howard",1
b360,Do Androids Dream of Electric Sheep?,book,"Philip K. Dick, Roger Zelazny",1
b401,A Farewell to Arms,book,Ernest Hemingway,1
b1264,"Queen of Shadows (Throne of Glass, #4)",book,Sarah J. Maas,1
b772,The Republic,book,"Plato, Desmond Lee",1
b650,Uncle Tom's Cabin,book,Harriet Beecher Stowe,1
b164,Eleanor & Park,book,Rainbow Rowell,1
b891,"Fool Moon (The Dresden Files, #2)",book,Jim Butcher,1
b148,Girl with a Pearl Earring,book,Tracy Chevalier,1
b1254,"Red Seas Under Red Skies (Gentleman Bastard, #2)",book,Scott Lynch,1
b766,Preludes & Nocturnes (The Sandman #1),book,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",1
b778,The Hunchback of Notre-Dame,book,"Victor Hugo, Walter J. Cobb",1
b877,The Neverending Story,book,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",1
b1743,"Siege and Storm (Shadow and Bone, #2)",book,Leigh Bardugo,1
b1502,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",book,Laini Taylor,1
b1155,"The Amulet of Samarkand (Bartimaeus, #1)",book,Jonathan Stroud,1
b365,V for Vendetta,book,"Alan Moore, David   Lloyd",1
b190,Wild: From Lost to Found on the Pacific Crest Trail,book,Cheryl Strayed,1
b1479,"Furies of Calderon (Codex Alera, #1)",book,Jim Butcher,1
b612,"The Drawing of the Three (The Dark Tower, #2)",book,Stephen King,1
b1128,"Dragonflight (Dragonriders of Pern, #1)",book,"Anne McCaffrey, Teodor Panasiński",1
b514,The Adventures of Sherlock Holmes,book,Arthur Conan Doyle,1
b1356,"The Warded Man (Demon Cycle, #1)",book,Peter V. Brett,1
b1278,"Knife of Dreams (Wheel of Time, #11)",book,Robert Jordan,1
b1114,North and South,book,"Elizabeth Gaskell, Alan Shelston",1
b2262,"Kushiel's Dart (Phèdre's Trilogy, #1)",book,Jacqueline Carey,1
b960,"The Gathering Storm (Wheel of Time, #12)",book,"Robert Jordan, Brandon Sanderson",1
b278,A Light in the Attic,book,Shel Silverstein,1
b38,The Time Traveler's Wife,book,Audrey Niffenegger,1
b40,"Eat, Pray, Love",book,Elizabeth Gilbert,1
b460,"Clockwork Princess (The Infernal Devices, #3)",book,Cassandra Clare,1
b1766,"Bitterblue (Graceling Realm, #3)",book,Kristin Cashore,1
b81,The Glass Castle,book,Jeannette Walls,1
b618,The Hound of the Baskervilles,book,"Arthur Conan Doyle, Anne Perry",1
b1665,"Warbreaker (Warbreaker, #1)",book,Brandon Sanderson,1
b803,"Fruits Basket, Vol. 1",book,"Natsuki Takaya, Alethea Nibley, Athena Nibley",1
b1350,"Lirael (Abhorsen, #2)",book,Garth Nix,1
b180,Siddhartha,book,"Hermann Hesse, Hilda Rosner",1
b352,Yes Please,book,Amy Poehler,1
b357,All Quiet on the Western Front,book,"Erich Maria Remarque, A.W. Wheen",1
b371,Stranger in a Strange Land,book,Robert A. Heinlein,1
b4200,"The Hundred Thousand Kingdoms (Inheritance Trilogy, #1)",book,N.K. Jemisin,1
b770,Julius Caesar,book,"William Shakespeare, Roma Gill",1
b428,"The Mark of Athena (The Heroes of Olympus, #3)",book,Rick Riordan,1
b961,Middlemarch,book,"George Eliot, Michel Faber",1
b714,King Lear,book,William Shakespeare,1
b463,"Dragonfly in Amber (Outlander, #2)",book,Diana Gabaldon,1
b816,"Wolf Hall (Thomas Cromwell, #1)",book,Hilary Mantel,1
b663,A People's History of the United States,book,Howard Zinn,1
b699,Twenty Thousand Leagues Under the Sea,book,"Jules Verne, Anthony Bonner",1
b1071,"Stone of Tears (Sword of Truth, #2)",book,Terry Goodkind,1
b2071,"Code Name Verity (Code Name Verity, #1)",book,Elizabeth Wein,1
b316,A Walk in the Woods,book,Bill Bryson,1
b706,Around the World in Eighty Days,book,"Jules Verne, Michael Glencross, Brian W. Aldiss",1
b239,World War Z: An Oral History of the Zombie War,book,Max Brooks,1
b289,"Watership Down (Watership Down, #1)",book,Richard Adams,1
b128,Steve Jobs,book,Walter Isaacson,1
b446,A Study in Scarlet,book,Arthur Conan Doyle,1
b1286,Quidditch Through the Ages,book,"Kennilworthy Whisp, J.K. Rowling",1
b550,The Omnivore's Dilemma: A Natural History of Four Meals,book,Michael Pollan,1
b182,"Beautiful Creatures (Caster Chronicles, #1)",book,"Kami Garcia, Margaret Stohl",1
b1674,"Prince of Thorns (The Broken Empire, #1)",book,Mark  Lawrence,1
b1629,"The Tombs of Atuan (Earthsea Cycle, #2)",book,Ursula K. Le Guin,1
b899,The Age of Innocence,book,"Edith Wharton, Maureen Howard",1
b1848,"Soulless (Parasol Protectorate, #1)",book,Gail Carriger,1
b1230,Before They Are Hanged (The First Law #2),book,Joe Abercrombie,1
b290,Is Everyone Hanging Out Without Me? (And Other Concerns),book,Mindy Kaling,1
b599,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",book,Douglas Adams,1
b810,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)",book,Bisco Hatori,1
b363,"Anna and the French Kiss (Anna and the French Kiss, #1)",book,Stephanie Perkins,1
b687,1776,book,David McCullough,1
b370,"The Red Pyramid (Kane Chronicles, #1)",book,Rick Riordan,1
b984,Paradise Lost,book,"John Milton, John      Leonard",1
b1474,"The Golem and the Jinni (The Golem and the Jinni, #1)",book,Helene Wecker,1
b2109,"Sourcery (Discworld, #5; Rincewind #3)",book,Terry Pratchett,1
b1337,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",book,Terry Pratchett,1
b1924,"Reaper Man (Discworld, #11; Death, #2)",book,Terry Pratchett,1
b547,The War of the Worlds,book,"H.G. Wells, Arthur C. Clarke",1
b473,"In the Woods (Dublin Murder Squad, #1)",book,Tana French,1
b1000,"Shadow and Bone (Shadow and Bone, #1)",book,Leigh Bardugo,1
b691,On Writing: A Memoir of the Craft,book,Stephen King,1
b1259,"Abhorsen (Abhorsen, #3)",book,Garth Nix,1
b988,"Towers of Midnight (Wheel of Time, #13)",book,"Robert Jordan, Brandon Sanderson",1
b1034,"Grave Peril (The Dresden Files, #3)",book,Jim Butcher,1
b1064,The Woman in White,book,"Wilkie Collins, Matthew Sweet",1
b140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",book,"Stieg Larsson, Reg Keeland",1
b197,"Dead Until Dark (Sookie Stackhouse, #1)",book,Charlaine Harris,1
b51,"City of Bones (The Mortal Instruments, #1)",book,Cassandra Clare,1
b503,"2001: A Space Odyssey (Space Odyssey, #1)",book,Arthur C. Clarke,1
b84,"Jurassic Park (Jurassic Park, #1)",book,Michael Crichton,1
b782,The Awakening,book,Kate Chopin,1
b1418,"Magician's Gambit (The Belgariad, #3)",book,David Eddings,1
b284,On the Road,book,Jack Kerouac,1
b474,The God Delusion,book,Richard Dawkins,1
b977,Inferno (The Divine Comedy #1),book,"Dante Alighieri, Anthony M. Esolen",1
b855,Twelfth Night,book,William Shakespeare,1
b207,"One for the Money (Stephanie Plum, #1)",book,Janet Evanovich,1
b2086,"Hogfather (Discworld, #20; Death, #4)",book,Terry Pratchett,1
b231,Sarah's Key,book,Tatiana de Rosnay,1
b2390,"The Queen of the Tearling (The Queen of the Tearling, #1)",book,Erika Johansen,1
b395,For Whom the Bell Tolls,book,Ernest Hemingway,1
b206,"The Selection (The Selection, #1)",book,Kiera Cass,1
b764,"The White Queen (The Plantagenet and Tudor Novels, #2)",book,Philippa Gregory,1
b607,"City of Heavenly Fire (The Mortal Instruments, #6)",book,Cassandra Clare,1
b1073,Vanity Fair,book,"William Makepeace Thackeray, John Carey",1
b2198,"Queen of Sorcery (The Belgariad, #2)",book,David Eddings,1
b75,"Bridget Jones's Diary (Bridget Jones, #1)",book,Helen Fielding,1
b3444,"The Thief (The Queen's Thief, #1)",book,Megan Whalen Turner,1
b1869,"Dealing with Dragons (Enchanted Forest Chronicles, #1)",book,"Patricia C. Wrede, Peter de Sève",1
b637,The Martian Chronicles,book,Ray Bradbury,1
b1857,"In the Hand of the Goddess (Song of the Lioness, #2)",book,Tamora Pierce,1
b773,The Taming of the Shrew,book,William Shakespeare,1
b1346,"Last Argument of Kings (The First Law, #3)",book,Joe Abercrombie,1
b1511,The Slow Regard of Silent Things (The Kingkiller Chronicle #2.5),book,"Patrick Rothfuss, Nate  Taylor",1
b3302,"Daughter of the Forest  (Sevenwaters, #1)",book,Juliet Marillier,1
b1546,"The Black Prism (Lightbringer, #1)",book,Brent Weeks,1
b725,"The Waste Lands (The Dark Tower, #3)",book,"Stephen King, Ned Dameron",1
b980,"Moon Called (Mercy Thompson, #1)",book,Patricia Briggs,1
b920,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,book,"Marie Kondō, Cathy Hirano",1
b536,"Red Queen (Red Queen, #1)",book,Victoria Aveyard,1
b829,A Room with a View,book,E.M. Forster,1
b2309,The Children of Húrin,book,"J.R.R. Tolkien, Christopher Tolkien, Alan Lee",1
b1463,"Enchanters' End Game (The Belgariad, #5)",book,David Eddings,1
b187,"Uglies (Uglies, #1)",book,Scott Westerfeld,1
b308,Can You Keep a Secret?,book,Sophie Kinsella,1
b2043,"Men at Arms (Discworld, #15; City Watch #2)",book,Terry Pratchett,1
b1931,"Castle of Wizardry (The Belgariad, #4)",book,David Eddings,1
b2258,"The Last Wish (The Witcher, #1)",book,Andrzej Sapkowski,1
b2626,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",book,Renee Ahdieh,1
b2669,"Ship of Magic (Liveship Traders, #1)",book,Robin Hobb,1
b671,"The Mysterious Affair at Styles (Hercule Poirot, #1)",book,"Agatha Christie, Ροζίτα Σώκου",1
b1396,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",book,"Margaret Weis, Tracy Hickman",1
b1167,The Divine Comedy,book,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",1
b684,"The House of Hades (The Heroes of Olympus, #4)",book,Rick Riordan,1
b1536,"Blood of the Fold (Sword of Truth, #3)",book,Terry Goodkind,1
b720,"Bleach, Volume 01",book,Tite Kubo,1
b442,Snow Crash,book,Neal Stephenson,1
b556,Cujo,book,Stephen King,1
b839,The Merchant of Venice,book,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",1
b735,Batman: The Killing Joke,book,"Alan Moore, Brian Bolland, Tim Sale",1
b1591,"The Farthest Shore (Earthsea Cycle, #3)",book,Ursula K. Le Guin,1
b497,Black Beauty,book,Anna Sewell,1
b479,The Prince,book,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1
b2489,"Witches Abroad (Discworld, #12; Witches #3)",book,Terry Pratchett,1
b774,"Cress (The Lunar Chronicles, #3)",book,Marissa Meyer,1
b300,The Boy in the Striped Pajamas,book,John Boyne,1
b1370,Fun Home: A Family Tragicomic,book,Alison Bechdel,1
b468,Their Eyes Were Watching God,book,Zora Neale Hurston,1
b271,Flowers for Algernon,book,Daniel Keyes,1
b2125,"The Book of Three (The Chronicles of Prydain, #1)",book,Lloyd Alexander,1
